list_name,topic,line_no,md_title,source_note,paper_url,arxiv_id,occurrences_in_markdown,found_in_arxiv_api,arxiv_id_versioned,arxiv_title,arxiv_abstract,authors,published,updated,primary_category,categories,comment,doi,journal_ref,arxiv_url,pdf_url
The NLP,Computational Social Science and Social Media,106,A Comprehensive Survey on Community Detection with Deep Learning.,arXiv 2021,https://arxiv.org/pdf/2105.12584.pdf,2105.12584,2,True,2105.12584v2,A Comprehensive Survey on Community Detection with Deep Learning,"A community reveals the features and connections of its members that are different from those in other communities in a network. Detecting communities is of great significance in network analysis. Despite the classical spectral clustering and statistical inference methods, we notice a significant development of deep learning techniques for community detection in recent years with their advantages in handling high dimensional network data. Hence, a comprehensive overview of community detection's latest progress through deep learning is timely to academics and practitioners. This survey devises and proposes a new taxonomy covering different state-of-the-art methods, including deep learning-based models upon deep neural networks, deep nonnegative matrix factorization and deep sparse filtering. The main category, i.e., deep neural networks, is further divided into convolutional networks, graph attention networks, generative adversarial networks and autoencoders. The survey also summarizes the popular benchmark data sets, evaluation metrics, and open-source implementations to address experimentation settings. We then discuss the practical applications of community detection in various domains and point to implementation scenarios. Finally, we outline future directions by suggesting challenging topics in this fast-growing deep learning field.",Xing Su | Shan Xue | Fanzhen Liu | Jia Wu | Jian Yang | Chuan Zhou | Wenbin Hu | Cecile Paris | Surya Nepal | Di Jin | Quan Z. Sheng | Philip S. Yu,2021-05-26T14:37:07Z,2021-10-11T11:52:48Z,cs.SI,cs.AI cs.LG cs.SI,29 Pages,10.1109/TNNLS.2021.3137396,"IEEE Transactions on Neural Networks and Learning Systems, 2022: 1-21",http://arxiv.org/abs/2105.12584v2,https://arxiv.org/pdf/2105.12584v2
The NLP,Computational Social Science and Social Media,110,"A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities.",ACM Comput. Surv. 2021,https://arxiv.org/abs/1812.00315,1812.00315,1,True,1812.00315v2,"A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities","The explosive growth in fake news and its erosion to democracy, justice, and public trust has increased the demand for fake news detection and intervention. This survey reviews and evaluates methods that can detect fake news from four perspectives: (1) the false knowledge it carries, (2) its writing style, (3) its propagation patterns, and (4) the credibility of its source. The survey also highlights some potential research tasks based on the review. In particular, we identify and detail related fundamental theories across various disciplines to encourage interdisciplinary research on fake news. We hope this survey can facilitate collaborative efforts among experts in computer and information sciences, social sciences, political science, and journalism to research fake news, where such efforts can lead to fake news detection that is not only efficient but more importantly, explainable.",Xinyi Zhou | Reza Zafarani,2018-12-02T03:27:15Z,2020-07-17T21:08:10Z,cs.CL,cs.AI cs.CL cs.SI,"ACM Computing Surveys (CSUR), 37 pages",10.1145/3395046,,http://arxiv.org/abs/1812.00315v2,https://arxiv.org/pdf/1812.00315v2
The NLP,Computational Social Science and Social Media,114,"A Survey of Race, Racism, and Anti-Racism in NLP.",ACL 2021,https://arxiv.org/abs/2106.11410,2106.11410,1,True,2106.11410v2,"A Survey of Race, Racism, and Anti-Racism in NLP","Despite inextricable ties between race and language, little work has considered race in NLP research and development. In this work, we survey 79 papers from the ACL anthology that mention race. These papers reveal various types of race-related bias in all stages of NLP model development, highlighting the need for proactive consideration of how NLP systems can uphold racial hierarchies. However, persistent gaps in research on race and NLP remain: race has been siloed as a niche topic and remains ignored in many NLP tasks; most work operationalizes race as a fixed single-dimensional variable with a ground-truth label, which risks reinforcing differences produced by historical racism; and the voices of historically marginalized people are nearly absent in NLP literature. By identifying where and how NLP literature has and has not considered race, especially in comparison to related fields, our work calls for inclusion and racial justice in NLP research practices.",Anjalie Field | Su Lin Blodgett | Zeerak Waseem | Yulia Tsvetkov,2021-06-21T20:59:06Z,2021-07-15T20:57:12Z,cs.CL,cs.CL,Accepted to ACL 2021,,,http://arxiv.org/abs/2106.11410v2,https://arxiv.org/pdf/2106.11410v2
The NLP,Computational Social Science and Social Media,118,A Survey on Computational Propaganda Detection.,IJCAI 2020,https://arxiv.org/pdf/2007.08024.pdf,2007.08024,1,True,2007.08024v1,A Survey on Computational Propaganda Detection,"Propaganda campaigns aim at influencing people's mindset with the purpose of advancing a specific agenda. They exploit the anonymity of the Internet, the micro-profiling ability of social networks, and the ease of automatically creating and managing coordinated networks of accounts, to reach millions of social network users with persuasive messages, specifically targeted to topics each individual user is sensitive to, and ultimately influencing the outcome on a targeted issue. In this survey, we review the state of the art on computational propaganda detection from the perspective of Natural Language Processing and Network Analysis, arguing about the need for combined efforts between these communities. We further discuss current challenges and future research directions.",Giovanni Da San Martino | Stefano Cresci | Alberto Barron-Cedeno | Seunghak Yu | Roberto Di Pietro | Preslav Nakov,2020-07-15T22:25:51Z,2020-07-15T22:25:51Z,cs.CL,cs.CL cs.IR cs.LG,"propaganda detection, disinformation, misinformation, fake news, media bias",,IJCAI-2020,http://arxiv.org/abs/2007.08024v1,https://arxiv.org/pdf/2007.08024v1
The NLP,Computational Social Science and Social Media,126,Computational Sociolinguistics: A Survey.,Comput. Linguistics 2016,https://arxiv.org/abs/1508.07544,1508.07544,1,True,1508.07544v2,Computational Sociolinguistics: A Survey,"Language is a social phenomenon and variation is inherent to its social nature. Recently, there has been a surge of interest within the computational linguistics (CL) community in the social dimension of language. In this article we present a survey of the emerging field of ""Computational Sociolinguistics"" that reflects this increased interest. We aim to provide a comprehensive overview of CL research on sociolinguistic themes, featuring topics such as the relation between language and social identity, language use in social interaction and multilingual communication. Moreover, we demonstrate the potential for synergy between the research communities involved, by showing how the large-scale data-driven methods that are widely used in CL can complement existing sociolinguistic studies, and how sociolinguistics can inform and challenge the methods and assumptions employed in CL studies. We hope to convey the possible benefits of a closer collaboration between the two communities and conclude with a discussion of open challenges.",Dong Nguyen | A. Seza Doğruöz | Carolyn P. Rosé | Franciska de Jong,2015-08-30T08:39:02Z,2016-04-06T10:14:24Z,cs.CL,cs.CL,"To appear in Computational Linguistics. Accepted for publication: 18th February, 2016",,,http://arxiv.org/abs/1508.07544v2,https://arxiv.org/pdf/1508.07544v2
The NLP,Computational Social Science and Social Media,130,Confronting Abusive Language Online: A Survey from the Ethical and Human Rights Perspective.,J. Artif. Intell. Res. 2021,https://arxiv.org/abs/2012.12305,2012.12305,1,True,2012.12305v2,Confronting Abusive Language Online: A Survey from the Ethical and Human Rights Perspective,"The pervasiveness of abusive content on the internet can lead to severe psychological and physical harm. Significant effort in Natural Language Processing (NLP) research has been devoted to addressing this problem through abusive content detection and related sub-areas, such as the detection of hate speech, toxicity, cyberbullying, etc. Although current technologies achieve high classification performance in research studies, it has been observed that the real-life application of this technology can cause unintended harms, such as the silencing of under-represented groups. We review a large body of NLP research on automatic abuse detection with a new focus on ethical challenges, organized around eight established ethical principles: privacy, accountability, safety and security, transparency and explainability, fairness and non-discrimination, human control of technology, professional responsibility, and promotion of human values. In many cases, these principles relate not only to situational ethical codes, which may be context-dependent, but are in fact connected to universal human rights, such as the right to privacy, freedom from discrimination, and freedom of expression. We highlight the need to examine the broad social impacts of this technology, and to bring ethical and human rights considerations to every stage of the application life-cycle, from task formulation and dataset design, to model training and evaluation, to application deployment. Guided by these principles, we identify several opportunities for rights-respecting, socio-technical solutions to detect and confront online abuse, including `nudging', `quarantining', value sensitive design, counter-narratives, style transfer, and AI-driven public education applications.",Svetlana Kiritchenko | Isar Nejadgholi | Kathleen C. Fraser,2020-12-22T19:27:11Z,2021-07-22T16:53:43Z,cs.CL,cs.AI cs.CL cs.CY,"published in Journal of Artificial Intelligence Research, 71: 431-478, July 2021",10.1613/jair.1.12590,,http://arxiv.org/abs/2012.12305v2,https://arxiv.org/pdf/2012.12305v2
The NLP,Computational Social Science and Social Media,134,From Symbols to Embeddings: A Tale of Two Representations in Computational Social Science.,J. Soc. Comput. 2021,https://arxiv.org/pdf/2106.14198,2106.14198,1,True,2106.14198v1,From Symbols to Embeddings: A Tale of Two Representations in Computational Social Science,"Computational Social Science (CSS), aiming at utilizing computational methods to address social science problems, is a recent emerging and fast-developing field. The study of CSS is data-driven and significantly benefits from the availability of online user-generated contents and social networks, which contain rich text and network data for investigation. However, these large-scale and multi-modal data also present researchers with a great challenge: how to represent data effectively to mine the meanings we want in CSS? To explore the answer, we give a thorough review of data representations in CSS for both text and network. Specifically, we summarize existing representations into two schemes, namely symbol-based and embedding-based representations, and introduce a series of typical methods for each scheme. Afterwards, we present the applications of the above representations based on the investigation of more than 400 research articles from 6 top venues involved with CSS. From the statistics of these applications, we unearth the strength of each kind of representations and discover the tendency that embedding-based representations are emerging and obtaining increasing attention over the last decade. Finally, we discuss several key challenges and open issues for future directions. This survey aims to provide a deeper understanding and more advisable applications of data representations for CSS researchers.",Huimin Chen | Cheng Yang | Xuanming Zhang | Zhiyuan Liu | Maosong Sun | Jianbin Jin,2021-06-27T11:04:44Z,2021-06-27T11:04:44Z,cs.CY,cs.CY,,,,http://arxiv.org/abs/2106.14198v1,https://arxiv.org/pdf/2106.14198v1
The NLP,Computational Social Science and Social Media,138,"Language (Technology) is Power: A Critical Survey of ""Bias"" in NLP.",ACL 2020,https://arxiv.org/abs/2005.14050,2005.14050,1,True,2005.14050v2,"Language (Technology) is Power: A Critical Survey of ""Bias"" in NLP","We survey 146 papers analyzing ""bias"" in NLP systems, finding that their motivations are often vague, inconsistent, and lacking in normative reasoning, despite the fact that analyzing ""bias"" is an inherently normative process. We further find that these papers' proposed quantitative techniques for measuring or mitigating ""bias"" are poorly matched to their motivations and do not engage with the relevant literature outside of NLP. Based on these findings, we describe the beginnings of a path forward by proposing three recommendations that should guide work analyzing ""bias"" in NLP systems. These recommendations rest on a greater recognition of the relationships between language and social hierarchies, encouraging researchers and practitioners to articulate their conceptualizations of ""bias""---i.e., what kinds of system behaviors are harmful, in what ways, to whom, and why, as well as the normative reasoning underlying these statements---and to center work around the lived experiences of members of communities affected by NLP systems, while interrogating and reimagining the power relations between technologists and such communities.",Su Lin Blodgett | Solon Barocas | Hal Daumé | Hanna Wallach,2020-05-28T14:32:08Z,2020-05-29T16:44:18Z,cs.CL,cs.CL cs.CY,,,,http://arxiv.org/abs/2005.14050v2,https://arxiv.org/pdf/2005.14050v2
The NLP,Computational Social Science and Social Media,142,Societal Biases in Language Generation: Progress and Challenges.,ACL 2021,https://arxiv.org/pdf/2105.04054.pdf,2105.04054,1,True,2105.04054v3,Societal Biases in Language Generation: Progress and Challenges,"Technology for language generation has advanced rapidly, spurred by advancements in pre-training large models on massive amounts of data and the need for intelligent agents to communicate in a natural manner. While techniques can effectively generate fluent text, they can also produce undesirable societal biases that can have a disproportionately negative impact on marginalized populations. Language generation presents unique challenges for biases in terms of direct user interaction and the structure of decoding techniques. To better understand these challenges, we present a survey on societal biases in language generation, focusing on how data and techniques contribute to biases and progress towards reducing biases. Motivated by a lack of studies on biases from decoding techniques, we also conduct experiments to quantify the effects of these techniques. By further discussing general trends and open challenges, we call to attention promising directions for research and the importance of fairness and inclusivity considerations for language generation applications.",Emily Sheng | Kai-Wei Chang | Premkumar Natarajan | Nanyun Peng,2021-05-10T00:17:33Z,2021-06-22T20:44:49Z,cs.CL,cs.CL,"ACL 2021 camera-ready (v2), updated references (v3)",,,http://arxiv.org/abs/2105.04054v3,https://arxiv.org/pdf/2105.04054v3
The NLP,Computational Social Science and Social Media,146,Tackling Online Abuse: A Survey of Automated Abuse Detection Methods.,arXiv 2019,https://arxiv.org/pdf/1908.06024.pdf,1908.06024,1,True,1908.06024v2,Tackling Online Abuse: A Survey of Automated Abuse Detection Methods,"Abuse on the Internet represents an important societal problem of our time. Millions of Internet users face harassment, racism, personal attacks, and other types of abuse on online platforms. The psychological effects of such abuse on individuals can be profound and lasting. Consequently, over the past few years, there has been a substantial research effort towards automated abuse detection in the field of natural language processing (NLP). In this paper, we present a comprehensive survey of the methods that have been proposed to date, thus providing a platform for further development of this area. We describe the existing datasets and review the computational approaches to abuse detection, analyzing their strengths and limitations. We discuss the main trends that emerge, highlight the challenges that remain, outline possible solutions, and propose guidelines for ethics and explainability",Pushkar Mishra | Helen Yannakoudakis | Ekaterina Shutova,2019-08-13T10:59:06Z,2020-09-30T11:42:04Z,cs.CL,cs.CL,In preparation for Computational Linguistics,,,http://arxiv.org/abs/1908.06024v2,https://arxiv.org/pdf/1908.06024v2
