label,title,abstract,arxiv_id,primary_category,categories,published,arxiv_url,topic,list_name,found_in_arxiv_api,source_dataset,model_text,title_norm,abstract_norm,text_fingerprint
SURVEY,A Survey on Retrieval-Augmented Text Generation,"Recently, retrieval-augmented text generation attracted increasing attention of the computational linguistics community. Compared with conventional generation models, retrieval-augmented text generation has remarkable advantages and particularly has achieved state-of-the-art performance in many NLP tasks. This paper aims to conduct a survey about retrieval-augmented text generation. It firstly highlights the generic paradigm of retrieval-augmented generation, and then it reviews notable approaches according to different tasks including dialogue response generation, machine translation, and other generation tasks. Finally, it points out some important directions on top of recent methods to facilitate future research.",2202.0111,cs.CL,cs.CL,2022-02-02T16:18:41Z,http://arxiv.org/abs/2202.01110v2,Information Retrieval and Text Mining,The NLP,1.0,survey,"A Survey on Retrieval-Augmented Text Generation A Survey on Retrieval-Augmented Text Generation Recently, retrieval-augmented text generation attracted increasing attention of the computational linguistics community. Compared with conventional generation models, retrieval-augmented text generation has remarkable advantages and particularly has achieved state-of-the-art performance in many NLP tasks. This paper aims to conduct a survey about retrieval-augmented text generation. It firstly highlights the generic paradigm of retrieval-augmented generation, and then it reviews notable approaches according to different tasks including dialogue response generation, machine translation, and other generation tasks. Finally, it points out some important directions on top of recent methods to facilitate future research.",a survey on retrieval-augmented text generation,"recently, retrieval-augmented text generation attracted increasing attention of the computational linguistics community. compared with conventional generation models, retrieval-augmented text generation has remarkable advantages and particularly has achieved state-of-the-art performance in many nlp tasks. this paper aims to conduct a survey about retrieval-augmented text generation. it firstly highlights the generic paradigm of retrieval-augmented generation, and then it reviews notable approaches according to different tasks including dialogue response generation, machine translation, and other generation tasks. finally, it points out some important directions on top of recent methods to facilitate future research.",01944fd5fe6efec8b83b7c3dda75f832
SURVEY,The Contribution of Knowledge in Visiolinguistic Learning: A Survey on Tasks and Challenges,"Recent advancements in visiolinguistic (VL) learning have allowed the development of multiple models and techniques that offer several impressive implementations, able to currently resolve a variety of tasks that require the collaboration of vision and language. Current datasets used for VL pre-training only contain a limited amount of visual and linguistic knowledge, thus significantly limiting the generalization capabilities of many VL models. External knowledge sources such as knowledge graphs (KGs) and Large Language Models (LLMs) are able to cover such generalization gaps by filling in missing knowledge, resulting in the emergence of hybrid architectures. In the current survey, we analyze tasks that have benefited from such hybrid approaches. Moreover, we categorize existing knowledge sources and types, proceeding to discussion regarding the KG vs LLM dilemma and its potential impact to future hybrid approaches.",2303.02411,cs.CL,cs.AI cs.CL cs.CV,2023-03-04T13:12:18Z,http://arxiv.org/abs/2303.02411v1,Large Language Models,The NLP,1.0,survey,"The Contribution of Knowledge in Visiolinguistic Learning: A Survey on Tasks and Challenges The Contribution of Knowledge in Visiolinguistic Learning: A Survey on Tasks and Challenges Recent advancements in visiolinguistic (VL) learning have allowed the development of multiple models and techniques that offer several impressive implementations, able to currently resolve a variety of tasks that require the collaboration of vision and language. Current datasets used for VL pre-training only contain a limited amount of visual and linguistic knowledge, thus significantly limiting the generalization capabilities of many VL models. External knowledge sources such as knowledge graphs (KGs) and Large Language Models (LLMs) are able to cover such generalization gaps by filling in missing knowledge, resulting in the emergence of hybrid architectures. In the current survey, we analyze tasks that have benefited from such hybrid approaches. Moreover, we categorize existing knowledge sources and types, proceeding to discussion regarding the KG vs LLM dilemma and its potential impact to future hybrid approaches.",the contribution of knowledge in visiolinguistic learning: a survey on tasks and challenges,"recent advancements in visiolinguistic (vl) learning have allowed the development of multiple models and techniques that offer several impressive implementations, able to currently resolve a variety of tasks that require the collaboration of vision and language. current datasets used for vl pre-training only contain a limited amount of visual and linguistic knowledge, thus significantly limiting the generalization capabilities of many vl models. external knowledge sources such as knowledge graphs (kgs) and large language models (llms) are able to cover such generalization gaps by filling in missing knowledge, resulting in the emergence of hybrid architectures. in the current survey, we analyze tasks that have benefited from such hybrid approaches. moreover, we categorize existing knowledge sources and types, proceeding to discussion regarding the kg vs llm dilemma and its potential impact to future hybrid approaches.",1aa3fcf4962345e72d85949288901dc8
SURVEY,A Survey on In-context Learning,"With the increasing capabilities of large language models (LLMs), in-context learning (ICL) has emerged as a new paradigm for natural language processing (NLP), where LLMs make predictions based on contexts augmented with a few examples. It has been a significant trend to explore ICL to evaluate and extrapolate the ability of LLMs. In this paper, we aim to survey and summarize the progress and challenges of ICL. We first present a formal definition of ICL and clarify its correlation to related studies. Then, we organize and discuss advanced techniques, including training strategies, prompt designing strategies, and related analysis. Additionally, we explore various ICL application scenarios, such as data engineering and knowledge updating. Finally, we address the challenges of ICL and suggest potential directions for further research. We hope that our work can encourage more research on uncovering how ICL works and improving ICL.",2301.00234,cs.CL,cs.AI cs.CL,2022-12-31T15:57:09Z,http://arxiv.org/abs/2301.00234v6,Natural Language Processing,The NLP,1.0,survey,"A Survey on In-context Learning A Survey on In-context Learning With the increasing capabilities of large language models (LLMs), in-context learning (ICL) has emerged as a new paradigm for natural language processing (NLP), where LLMs make predictions based on contexts augmented with a few examples. It has been a significant trend to explore ICL to evaluate and extrapolate the ability of LLMs. In this paper, we aim to survey and summarize the progress and challenges of ICL. We first present a formal definition of ICL and clarify its correlation to related studies. Then, we organize and discuss advanced techniques, including training strategies, prompt designing strategies, and related analysis. Additionally, we explore various ICL application scenarios, such as data engineering and knowledge updating. Finally, we address the challenges of ICL and suggest potential directions for further research. We hope that our work can encourage more research on uncovering how ICL works and improving ICL.",a survey on in-context learning,"with the increasing capabilities of large language models (llms), in-context learning (icl) has emerged as a new paradigm for natural language processing (nlp), where llms make predictions based on contexts augmented with a few examples. it has been a significant trend to explore icl to evaluate and extrapolate the ability of llms. in this paper, we aim to survey and summarize the progress and challenges of icl. we first present a formal definition of icl and clarify its correlation to related studies. then, we organize and discuss advanced techniques, including training strategies, prompt designing strategies, and related analysis. additionally, we explore various icl application scenarios, such as data engineering and knowledge updating. finally, we address the challenges of icl and suggest potential directions for further research. we hope that our work can encourage more research on uncovering how icl works and improving icl.",6d56d5728e02df3ee7cefcd1066e7a3d
SURVEY,A Survey of Controllable Text Generation using Transformer-based Pre-trained Language Models,"Controllable Text Generation (CTG) is emerging area in the field of natural language generation (NLG). It is regarded as crucial for the development of advanced text generation technologies that better meet the specific constraints in practical applications. In recent years, methods using large-scale pre-trained language models (PLMs), in particular the widely used transformer-based PLMs, have become a new paradigm of NLG, allowing generation of more diverse and fluent text. However, due to the limited level of interpretability of deep neural networks, the controllability of these methods need to be guaranteed. To this end, controllable text generation using transformer-based PLMs has become a rapidly growing yet challenging new research hotspot. A diverse range of approaches have emerged in the recent 3-4 years, targeting different CTG tasks that require different types of controlled constraints. In this paper, we present a systematic critical review on the common tasks, main approaches, and evaluation methods in this area. Finally, we discuss the challenges that the field is facing, and put forward various promising future directions. To the best of our knowledge, this is the first survey paper to summarize the state-of-the-art CTG techniques from the perspective of Transformer-based PLMs. We hope it can help researchers and practitioners in the related fields to quickly track the academic and technological frontier, providing them with a landscape of the area and a roadmap for future research.",2201.05337,cs.CL,cs.CL,2022-01-14T08:32:20Z,http://arxiv.org/abs/2201.05337v5,Pretrained Models,The NLP,1.0,survey,"A Survey of Controllable Text Generation using Transformer-based Pre-trained Language Models A Survey of Controllable Text Generation using Transformer-based Pre-trained Language Models Controllable Text Generation (CTG) is emerging area in the field of natural language generation (NLG). It is regarded as crucial for the development of advanced text generation technologies that better meet the specific constraints in practical applications. In recent years, methods using large-scale pre-trained language models (PLMs), in particular the widely used transformer-based PLMs, have become a new paradigm of NLG, allowing generation of more diverse and fluent text. However, due to the limited level of interpretability of deep neural networks, the controllability of these methods need to be guaranteed. To this end, controllable text generation using transformer-based PLMs has become a rapidly growing yet challenging new research hotspot. A diverse range of approaches have emerged in the recent 3-4 years, targeting different CTG tasks that require different types of controlled constraints. In this paper, we present a systematic critical review on the common tasks, main approaches, and evaluation methods in this area. Finally, we discuss the challenges that the field is facing, and put forward various promising future directions. To the best of our knowledge, this is the first survey paper to summarize the state-of-the-art CTG techniques from the perspective of Transformer-based PLMs. We hope it can help researchers and practitioners in the related fields to quickly track the academic and technological frontier, providing them with a landscape of the area and a roadmap for future research.",a survey of controllable text generation using transformer-based pre-trained language models,"controllable text generation (ctg) is emerging area in the field of natural language generation (nlg). it is regarded as crucial for the development of advanced text generation technologies that better meet the specific constraints in practical applications. in recent years, methods using large-scale pre-trained language models (plms), in particular the widely used transformer-based plms, have become a new paradigm of nlg, allowing generation of more diverse and fluent text. however, due to the limited level of interpretability of deep neural networks, the controllability of these methods need to be guaranteed. to this end, controllable text generation using transformer-based plms has become a rapidly growing yet challenging new research hotspot. a diverse range of approaches have emerged in the recent 3-4 years, targeting different ctg tasks that require different types of controlled constraints. in this paper, we present a systematic critical review on the common tasks, main approaches, and evaluation methods in this area. finally, we discuss the challenges that the field is facing, and put forward various promising future directions. to the best of our knowledge, this is the first survey paper to summarize the state-of-the-art ctg techniques from the perspective of transformer-based plms. we hope it can help researchers and practitioners in the related fields to quickly track the academic and technological frontier, providing them with a landscape of the area and a roadmap for future research.",aacb5dabda7a7ee5e72fa42cf584e0c7
SURVEY,Dense Text Retrieval based on Pretrained Language Models: A Survey,"Text retrieval is a long-standing research topic on information seeking, where a system is required to return relevant information resources to user's queries in natural language. From classic retrieval methods to learning-based ranking functions, the underlying retrieval models have been continually evolved with the ever-lasting technical innovation. To design effective retrieval models, a key point lies in how to learn the text representation and model the relevance matching. The recent success of pretrained language models (PLMs) sheds light on developing more capable text retrieval approaches by leveraging the excellent modeling capacity of PLMs. With powerful PLMs, we can effectively learn the representations of queries and texts in the latent representation space, and further construct the semantic matching function between the dense vectors for relevance modeling. Such a retrieval approach is referred to as dense retrieval, since it employs dense vectors (a.k.a., embeddings) to represent the texts. Considering the rapid progress on dense retrieval, in this survey, we systematically review the recent advances on PLM-based dense retrieval. Different from previous surveys on dense retrieval, we take a new perspective to organize the related work by four major aspects, including architecture, training, indexing and integration, and summarize the mainstream techniques for each aspect. We thoroughly survey the literature, and include 300+ related reference papers on dense retrieval. To support our survey, we create a website for providing useful resources, and release a code repertory and toolkit for implementing dense retrieval models. This survey aims to provide a comprehensive, practical reference focused on the major progress for dense text retrieval.",2211.14876,cs.IR,cs.IR,2022-11-27T16:18:19Z,http://arxiv.org/abs/2211.14876v1,Pretrained Models,The NLP,1.0,survey,"Dense Text Retrieval based on Pretrained Language Models: A Survey Dense Text Retrieval based on Pretrained Language Models: A Survey Text retrieval is a long-standing research topic on information seeking, where a system is required to return relevant information resources to user's queries in natural language. From classic retrieval methods to learning-based ranking functions, the underlying retrieval models have been continually evolved with the ever-lasting technical innovation. To design effective retrieval models, a key point lies in how to learn the text representation and model the relevance matching. The recent success of pretrained language models (PLMs) sheds light on developing more capable text retrieval approaches by leveraging the excellent modeling capacity of PLMs. With powerful PLMs, we can effectively learn the representations of queries and texts in the latent representation space, and further construct the semantic matching function between the dense vectors for relevance modeling. Such a retrieval approach is referred to as dense retrieval, since it employs dense vectors (a.k.a., embeddings) to represent the texts. Considering the rapid progress on dense retrieval, in this survey, we systematically review the recent advances on PLM-based dense retrieval. Different from previous surveys on dense retrieval, we take a new perspective to organize the related work by four major aspects, including architecture, training, indexing and integration, and summarize the mainstream techniques for each aspect. We thoroughly survey the literature, and include 300+ related reference papers on dense retrieval. To support our survey, we create a website for providing useful resources, and release a code repertory and toolkit for implementing dense retrieval models. This survey aims to provide a comprehensive, practical reference focused on the major progress for dense text retrieval.",dense text retrieval based on pretrained language models: a survey,"text retrieval is a long-standing research topic on information seeking, where a system is required to return relevant information resources to user's queries in natural language. from classic retrieval methods to learning-based ranking functions, the underlying retrieval models have been continually evolved with the ever-lasting technical innovation. to design effective retrieval models, a key point lies in how to learn the text representation and model the relevance matching. the recent success of pretrained language models (plms) sheds light on developing more capable text retrieval approaches by leveraging the excellent modeling capacity of plms. with powerful plms, we can effectively learn the representations of queries and texts in the latent representation space, and further construct the semantic matching function between the dense vectors for relevance modeling. such a retrieval approach is referred to as dense retrieval, since it employs dense vectors (a.k.a., embeddings) to represent the texts. considering the rapid progress on dense retrieval, in this survey, we systematically review the recent advances on plm-based dense retrieval. different from previous surveys on dense retrieval, we take a new perspective to organize the related work by four major aspects, including architecture, training, indexing and integration, and summarize the mainstream techniques for each aspect. we thoroughly survey the literature, and include 300+ related reference papers on dense retrieval. to support our survey, we create a website for providing useful resources, and release a code repertory and toolkit for implementing dense retrieval models. this survey aims to provide a comprehensive, practical reference focused on the major progress for dense text retrieval.",371d7227c970a6256df35609a45483a7
SURVEY,Pre-training Methods in Information Retrieval,"The core of information retrieval (IR) is to identify relevant information from large-scale resources and return it as a ranked list to respond to the user's information need. In recent years, the resurgence of deep learning has greatly advanced this field and leads to a hot topic named NeuIR (i.e., neural information retrieval), especially the paradigm of pre-training methods (PTMs). Owing to sophisticated pre-training objectives and huge model size, pre-trained models can learn universal language representations from massive textual data, which are beneficial to the ranking task of IR. Recently, a large number of works, which are dedicated to the application of PTMs in IR, have been introduced to promote the retrieval performance. Considering the rapid progress of this direction, this survey aims to provide a systematic review of pre-training methods in IR. To be specific, we present an overview of PTMs applied in different components of an IR system, including the retrieval component, the re-ranking component, and other components. In addition, we also introduce PTMs specifically designed for IR, and summarize available datasets as well as benchmark leaderboards. Moreover, we discuss some open challenges and highlight several promising directions, with the hope of inspiring and facilitating more works on these topics for future research.",2111.13853,cs.IR,cs.IR,2021-11-27T09:34:24Z,http://arxiv.org/abs/2111.13853v3,Pretrained Models,The NLP,1.0,survey,"Pre-training Methods in Information Retrieval Pre-training Methods in Information Retrieval The core of information retrieval (IR) is to identify relevant information from large-scale resources and return it as a ranked list to respond to the user's information need. In recent years, the resurgence of deep learning has greatly advanced this field and leads to a hot topic named NeuIR (i.e., neural information retrieval), especially the paradigm of pre-training methods (PTMs). Owing to sophisticated pre-training objectives and huge model size, pre-trained models can learn universal language representations from massive textual data, which are beneficial to the ranking task of IR. Recently, a large number of works, which are dedicated to the application of PTMs in IR, have been introduced to promote the retrieval performance. Considering the rapid progress of this direction, this survey aims to provide a systematic review of pre-training methods in IR. To be specific, we present an overview of PTMs applied in different components of an IR system, including the retrieval component, the re-ranking component, and other components. In addition, we also introduce PTMs specifically designed for IR, and summarize available datasets as well as benchmark leaderboards. Moreover, we discuss some open challenges and highlight several promising directions, with the hope of inspiring and facilitating more works on these topics for future research.",pre-training methods in information retrieval,"the core of information retrieval (ir) is to identify relevant information from large-scale resources and return it as a ranked list to respond to the user's information need. in recent years, the resurgence of deep learning has greatly advanced this field and leads to a hot topic named neuir (i.e., neural information retrieval), especially the paradigm of pre-training methods (ptms). owing to sophisticated pre-training objectives and huge model size, pre-trained models can learn universal language representations from massive textual data, which are beneficial to the ranking task of ir. recently, a large number of works, which are dedicated to the application of ptms in ir, have been introduced to promote the retrieval performance. considering the rapid progress of this direction, this survey aims to provide a systematic review of pre-training methods in ir. to be specific, we present an overview of ptms applied in different components of an ir system, including the retrieval component, the re-ranking component, and other components. in addition, we also introduce ptms specifically designed for ir, and summarize available datasets as well as benchmark leaderboards. moreover, we discuss some open challenges and highlight several promising directions, with the hope of inspiring and facilitating more works on these topics for future research.",2afbd828d5c03b2b52bed333756d6566
SURVEY,Multi-hop Question Answering,"The task of Question Answering (QA) has attracted significant research interest for long. Its relevance to language understanding and knowledge retrieval tasks, along with the simple setting makes the task of QA crucial for strong AI systems. Recent success on simple QA tasks has shifted the focus to more complex settings. Among these, Multi-Hop QA (MHQA) is one of the most researched tasks over the recent years. In broad terms, MHQA is the task of answering natural language questions that involve extracting and combining multiple pieces of information and doing multiple steps of reasoning. An example of a multi-hop question would be ""The Argentine PGA Championship record holder has won how many tournaments worldwide?"". Answering the question would need two pieces of information: ""Who is the record holder for Argentine PGA Championship tournaments?"" and ""How many tournaments did [Answer of Sub Q1] win?"". The ability to answer multi-hop questions and perform multi step reasoning can significantly improve the utility of NLP systems. Consequently, the field has seen a surge with high quality datasets, models and evaluation strategies. The notion of 'multiple hops' is somewhat abstract which results in a large variety of tasks that require multi-hop reasoning. This leads to different datasets and models that differ significantly from each other and makes the field challenging to generalize and survey. We aim to provide a general and formal definition of the MHQA task, and organize and summarize existing MHQA frameworks. We also outline some best practices for building MHQA datasets. This book provides a systematic and thorough introduction as well as the structuring of the existing attempts to this highly interesting, yet quite challenging task.",2204.0914,cs.CL,cs.AI cs.CL cs.IR,2022-04-19T21:55:18Z,http://arxiv.org/abs/2204.09140v2,Question Answering,The NLP,1.0,survey,"Multi-hop Question Answering Multi-hop Question Answering The task of Question Answering (QA) has attracted significant research interest for long. Its relevance to language understanding and knowledge retrieval tasks, along with the simple setting makes the task of QA crucial for strong AI systems. Recent success on simple QA tasks has shifted the focus to more complex settings. Among these, Multi-Hop QA (MHQA) is one of the most researched tasks over the recent years. In broad terms, MHQA is the task of answering natural language questions that involve extracting and combining multiple pieces of information and doing multiple steps of reasoning. An example of a multi-hop question would be ""The Argentine PGA Championship record holder has won how many tournaments worldwide?"". Answering the question would need two pieces of information: ""Who is the record holder for Argentine PGA Championship tournaments?"" and ""How many tournaments did [Answer of Sub Q1] win?"". The ability to answer multi-hop questions and perform multi step reasoning can significantly improve the utility of NLP systems. Consequently, the field has seen a surge with high quality datasets, models and evaluation strategies. The notion of 'multiple hops' is somewhat abstract which results in a large variety of tasks that require multi-hop reasoning. This leads to different datasets and models that differ significantly from each other and makes the field challenging to generalize and survey. We aim to provide a general and formal definition of the MHQA task, and organize and summarize existing MHQA frameworks. We also outline some best practices for building MHQA datasets. This book provides a systematic and thorough introduction as well as the structuring of the existing attempts to this highly interesting, yet quite challenging task.",multi-hop question answering,"the task of question answering (qa) has attracted significant research interest for long. its relevance to language understanding and knowledge retrieval tasks, along with the simple setting makes the task of qa crucial for strong ai systems. recent success on simple qa tasks has shifted the focus to more complex settings. among these, multi-hop qa (mhqa) is one of the most researched tasks over the recent years. in broad terms, mhqa is the task of answering natural language questions that involve extracting and combining multiple pieces of information and doing multiple steps of reasoning. an example of a multi-hop question would be ""the argentine pga championship record holder has won how many tournaments worldwide?"". answering the question would need two pieces of information: ""who is the record holder for argentine pga championship tournaments?"" and ""how many tournaments did [answer of sub q1] win?"". the ability to answer multi-hop questions and perform multi step reasoning can significantly improve the utility of nlp systems. consequently, the field has seen a surge with high quality datasets, models and evaluation strategies. the notion of 'multiple hops' is somewhat abstract which results in a large variety of tasks that require multi-hop reasoning. this leads to different datasets and models that differ significantly from each other and makes the field challenging to generalize and survey. we aim to provide a general and formal definition of the mhqa task, and organize and summarize existing mhqa frameworks. we also outline some best practices for building mhqa datasets. this book provides a systematic and thorough introduction as well as the structuring of the existing attempts to this highly interesting, yet quite challenging task.",5a885844b0d17617304a409ab6f331c0
SURVEY,A Survey on Explainability in Machine Reading Comprehension,"This paper presents a systematic review of benchmarks and approaches for explainability in Machine Reading Comprehension (MRC). We present how the representation and inference challenges evolved and the steps which were taken to tackle these challenges. We also present the evaluation methodologies to assess the performance of explainable systems. In addition, we identify persisting open research questions and highlight critical directions for future work.",2010.00389,cs.CL,cs.AI cs.CL,2020-10-01T13:26:58Z,http://arxiv.org/abs/2010.00389v1,Reading Comprehension,The NLP,1.0,survey,"A Survey on Explainability in Machine Reading Comprehension A Survey on Explainability in Machine Reading Comprehension This paper presents a systematic review of benchmarks and approaches for explainability in Machine Reading Comprehension (MRC). We present how the representation and inference challenges evolved and the steps which were taken to tackle these challenges. We also present the evaluation methodologies to assess the performance of explainable systems. In addition, we identify persisting open research questions and highlight critical directions for future work.",a survey on explainability in machine reading comprehension,"this paper presents a systematic review of benchmarks and approaches for explainability in machine reading comprehension (mrc). we present how the representation and inference challenges evolved and the steps which were taken to tackle these challenges. we also present the evaluation methodologies to assess the performance of explainable systems. in addition, we identify persisting open research questions and highlight critical directions for future work.",469e71e2803dfaccaca1552ffa37c42a
SURVEY,Efficient Methods for Natural Language Processing: A Survey,"Recent work in natural language processing (NLP) has yielded appealing results from scaling model parameters and training data; however, using only scale to improve performance means that resource consumption also grows. Such resources include data, time, storage, or energy, all of which are naturally limited and unevenly distributed. This motivates research into efficient methods that require fewer resources to achieve similar results. This survey synthesizes and relates current methods and findings in efficient NLP. We aim to provide both guidance for conducting NLP under limited resources, and point towards promising research directions for developing more efficient methods.",2209.00099,cs.CL,cs.CL,2022-08-31T20:32:35Z,http://arxiv.org/abs/2209.00099v2,Resources and Evaluation,The NLP,1.0,survey,"Efficient Methods for Natural Language Processing: A Survey Efficient Methods for Natural Language Processing: A Survey Recent work in natural language processing (NLP) has yielded appealing results from scaling model parameters and training data; however, using only scale to improve performance means that resource consumption also grows. Such resources include data, time, storage, or energy, all of which are naturally limited and unevenly distributed. This motivates research into efficient methods that require fewer resources to achieve similar results. This survey synthesizes and relates current methods and findings in efficient NLP. We aim to provide both guidance for conducting NLP under limited resources, and point towards promising research directions for developing more efficient methods.",efficient methods for natural language processing: a survey,"recent work in natural language processing (nlp) has yielded appealing results from scaling model parameters and training data; however, using only scale to improve performance means that resource consumption also grows. such resources include data, time, storage, or energy, all of which are naturally limited and unevenly distributed. this motivates research into efficient methods that require fewer resources to achieve similar results. this survey synthesizes and relates current methods and findings in efficient nlp. we aim to provide both guidance for conducting nlp under limited resources, and point towards promising research directions for developing more efficient methods.",fb8c37e26bcca051b6d1d988861a7cec
SURVEY,"Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches","In the NLP community, recent years have seen a surge of research activities that address machines' ability to perform deep language understanding which goes beyond what is explicitly stated in text, rather relying on reasoning and knowledge of the world. Many benchmark tasks and datasets have been created to support the development and evaluation of such natural language inference ability. As these benchmarks become instrumental and a driving force for the NLP research community, this paper aims to provide an overview of recent benchmarks, relevant knowledge resources, and state-of-the-art learning and inference approaches in order to support a better understanding of this growing field.",1904.01172,cs.CL,cs.CL,2019-04-02T02:09:01Z,http://arxiv.org/abs/1904.01172v3,Resources and Evaluation,The NLP,1.0,survey,"Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches In the NLP community, recent years have seen a surge of research activities that address machines' ability to perform deep language understanding which goes beyond what is explicitly stated in text, rather relying on reasoning and knowledge of the world. Many benchmark tasks and datasets have been created to support the development and evaluation of such natural language inference ability. As these benchmarks become instrumental and a driving force for the NLP research community, this paper aims to provide an overview of recent benchmarks, relevant knowledge resources, and state-of-the-art learning and inference approaches in order to support a better understanding of this growing field.","recent advances in natural language inference: a survey of benchmarks, resources, and approaches","in the nlp community, recent years have seen a surge of research activities that address machines' ability to perform deep language understanding which goes beyond what is explicitly stated in text, rather relying on reasoning and knowledge of the world. many benchmark tasks and datasets have been created to support the development and evaluation of such natural language inference ability. as these benchmarks become instrumental and a driving force for the nlp research community, this paper aims to provide an overview of recent benchmarks, relevant knowledge resources, and state-of-the-art learning and inference approaches in order to support a better understanding of this growing field.",2b3b8b6ca855df74c32e752b6dca0b28
