label,title,abstract,primary_category,categories,keyword_hit_count,keyword_hits,published,arxiv_id,arxiv_url,source_query
APPLIED,Towards Generalizable Robotic Manipulation in Dynamic Environments,"Vision-Language-Action (VLA) models excel in static manipulation but struggle in dynamic environments with moving targets. This performance gap primarily stems from a scarcity of dynamic manipulation datasets and the reliance of mainstream VLAs on single-frame observations, restricting their spatiotemporal reasoning capabilities. To address this, we introduce DOMINO, a large-scale dataset and benchmark for generalizable dynamic manipulation, featuring 35 tasks with hierarchical complexities, over 110K expert trajectories, and a multi-dimensional evaluation suite. Through comprehensive experiments, we systematically evaluate existing VLAs on dynamic tasks, explore effective training strategies for dynamic awareness, and validate the generalizability of dynamic data. Furthermore, we propose PUMA, a dynamics-aware VLA architecture. By integrating scene-centric historical optical flow and specialized world queries to implicitly forecast object-centric future states, PUMA couples history-aware perception with short-horizon prediction. Results demonstrate that PUMA achieves state-of-the-art performance, yielding a 6.3% absolute improvement in success rate over baselines. Moreover, we show that training on dynamic data fosters robust spatiotemporal representations that transfer to static tasks. All code and data are available at https://github.com/H-EmbodVis/DOMINO.",cs.CV,cs.CV cs.RO,12,"experiments, benchmark, dataset, datasets, evaluation, evaluate, we propose, we introduce, performance, state-of-the-art, baselines, training",2026-03-16T17:59:57Z,2603.15620v1,http://arxiv.org/abs/2603.15620v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,Mixture-of-Depths Attention,"Scaling depth is a key driver for large language models (LLMs). Yet, as LLMs become deeper, they often suffer from signal degradation: informative features formed in shallow layers are gradually diluted by repeated residual updates, making them harder to recover in deeper layers. We introduce mixture-of-depths attention (MoDA), a mechanism that allows each attention head to attend to sequence KV pairs at the current layer and depth KV pairs from preceding layers. We further describe a hardware-efficient algorithm for MoDA that resolves non-contiguous memory-access patterns, achieving 97.3% of FlashAttention-2's efficiency at a sequence length of 64K. Experiments on 1.5B-parameter models demonstrate that MoDA consistently outperforms strong baselines. Notably, it improves average perplexity by 0.2 across 10 validation benchmarks and increases average performance by 2.11% on 10 downstream tasks, with a negligible 3.7% FLOPs computational overhead. We also find that combining MoDA with post-norm yields better performance than using it with pre-norm. These results suggest that MoDA is a promising primitive for depth scaling. Code is released at https://github.com/hustvl/MoDA .",cs.CL,cs.AI cs.CL,6,"experiments, benchmarks, we introduce, performance, outperforms, baselines",2026-03-16T17:59:55Z,2603.15619v1,http://arxiv.org/abs/2603.15619v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,Look Before Acting: Enhancing Vision Foundation Representations for Vision-Language-Action Models,"Vision-Language-Action (VLA) models have recently emerged as a promising paradigm for robotic manipulation, in which reliable action prediction critically depends on accurately interpreting and integrating visual observations conditioned on language instructions. Although recent works have sought to enhance the visual capabilities of VLA models, most approaches treat the LLM backbone as a black box, providing limited insight into how visual information is grounded into action generation. Therefore, we perform a systematic analysis of multiple VLA models across different action-generation paradigms and observe that sensitivity to visual tokens progressively decreases in deeper layers during action generation. Motivated by this observation, we propose \textbf{DeepVision-VLA}, built on a \textbf{Vision-Language Mixture-of-Transformers (VL-MoT)} framework. This framework enables shared attention between the vision foundation model and the VLA backbone, injecting multi-level visual features from the vision expert into deeper layers of the VLA backbone to enhance visual representations for precise and complex manipulation. In addition, we introduce \textbf{Action-Guided Visual Pruning (AGVP)}, which leverages shallow-layer attention to prune irrelevant visual tokens while preserving task-relevant ones, reinforcing critical visual cues for manipulation with minimal computational overhead. DeepVision-VLA outperforms prior state-of-the-art methods by 9.0\% and 7.5\% on simulated and real-world tasks, respectively, providing new insights for the design of visually enhanced VLA models.",cs.CV,cs.CV,5,"we propose, we introduce, real-world, state-of-the-art, outperforms",2026-03-16T17:59:54Z,2603.15618v1,http://arxiv.org/abs/2603.15618v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,HorizonMath: Measuring AI Progress Toward Mathematical Discovery with Automatic Verification,"Can AI make progress on important, unsolved mathematical problems? Large language models are now capable of sophisticated mathematical and scientific reasoning, but whether they can perform novel research is still widely debated and underexplored. We introduce HorizonMath, a benchmark of over 100 predominantly unsolved problems spanning 8 domains in computational and applied mathematics, paired with an open-source evaluation framework for automated verification. Our benchmark targets a class of problems where discovery is hard, requiring meaningful mathematical insight, but verification is computationally efficient and simple. Because these solutions are unknown, HorizonMath is immune to data contamination, and most state-of-the-art models score near 0%. Existing research-level benchmarks instead rely on formal proof verification or manual review, both of which are expensive to scale. Using this platform, we find two problems for which GPT 5.4 Pro proposes solutions that improve on the best-known published results, representing potential novel contributions (pending expert review). We release HorizonMath as an open challenge and a growing community resource, where correct solutions to problems in the unsolved problem classes could constitute novel results in the mathematical literature.",cs.LG,cs.LG,5,"benchmark, benchmarks, evaluation, we introduce, state-of-the-art",2026-03-16T17:59:53Z,2603.15617v1,http://arxiv.org/abs/2603.15617v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,GlyphPrinter: Region-Grouped Direct Preference Optimization for Glyph-Accurate Visual Text Rendering,"Generating accurate glyphs for visual text rendering is essential yet challenging. Existing methods typically enhance text rendering by training on a large amount of high-quality scene text images, but the limited coverage of glyph variations and excessive stylization often compromise glyph accuracy, especially for complex or out-of-domain characters. Some methods leverage reinforcement learning to alleviate this issue, yet their reward models usually depend on text recognition systems that are insensitive to fine-grained glyph errors, so images with incorrect glyphs may still receive high rewards. Inspired by Direct Preference Optimization (DPO), we propose GlyphPrinter, a preference-based text rendering method that eliminates reliance on explicit reward models. However, the standard DPO objective only models overall preference between two samples, which is insufficient for visual text rendering where glyph errors typically occur in localized regions. To address this issue, we construct the GlyphCorrector dataset with region-level glyph preference annotations and propose Region-Grouped DPO (R-GDPO), a region-based objective that optimizes inter- and intra-sample preferences over annotated regions, substantially enhancing glyph accuracy. Furthermore, we introduce Regional Reward Guidance, an inference strategy that samples from an optimal distribution with controllable glyph accuracy. Extensive experiments demonstrate that the proposed GlyphPrinter outperforms existing methods in glyph accuracy while maintaining a favorable balance between stylization and precision.",cs.CV,cs.CV,8,"experiments, dataset, we propose, we introduce, accuracy, outperforms, training, inference",2026-03-16T17:59:31Z,2603.15616v1,http://arxiv.org/abs/2603.15616v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,Mechanistic Origin of Moral Indifference in Language Models,"Existing behavioral alignment techniques for Large Language Models (LLMs) often neglect the discrepancy between surface compliance and internal unaligned representations, leaving LLMs vulnerable to long-tail risks. More crucially, we posit that LLMs possess an inherent state of moral indifference due to compressing distinct moral concepts into uniform probability distributions. We verify and remedy this indifference in LLMs' latent representations, utilizing 251k moral vectors constructed upon Prototype Theory and the Social-Chemistry-101 dataset. Firstly, our analysis across 23 models reveals that current LLMs fail to represent the distinction between opposed moral categories and fine-grained typicality gradients within these categories; notably, neither model scaling, architecture, nor explicit alignment reshapes this indifference. We then employ Sparse Autoencoders on Qwen3-8B, isolate mono-semantic moral features, and targetedly reconstruct their topological relationships to align with ground-truth moral vectors. This representational alignment naturally improves moral reasoning and granularity, achieving a 75% pairwise win-rate on the independent adversarial Flames benchmark. Finally, we elaborate on the remedial nature of current intervention methods from an experientialist philosophy, arguing that endogenously aligned AI might require a transformation from post-hoc corrections to proactive cultivation.",cs.CL,cs.AI cs.CL,2,"benchmark, dataset",2026-03-16T17:59:17Z,2603.15615v1,http://arxiv.org/abs/2603.15615v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,"Tri-Prompting: Video Diffusion with Unified Control over Scene, Subject, and Motion","Recent video diffusion models have made remarkable strides in visual quality, yet precise, fine-grained control remains a key bottleneck that limits practical customizability for content creation. For AI video creators, three forms of control are crucial: (i) scene composition, (ii) multi-view consistent subject customization, and (iii) camera-pose or object-motion adjustment. Existing methods typically handle these dimensions in isolation, with limited support for multi-view subject synthesis and identity preservation under arbitrary pose changes. This lack of a unified architecture makes it difficult to support versatile, jointly controllable video. We introduce Tri-Prompting, a unified framework and two-stage training paradigm that integrates scene composition, multi-view subject consistency, and motion control. Our approach leverages a dual-condition motion module driven by 3D tracking points for background scenes and downsampled RGB cues for foreground subjects. To ensure a balance between controllability and visual realism, we further propose an inference ControlNet scale schedule. Tri-Prompting supports novel workflows, including 3D-aware subject insertion into any scenes and manipulation of existing subjects in an image. Experimental results demonstrate that Tri-Prompting significantly outperforms specialized baselines such as Phantom and DaS in multi-view subject identity, 3D consistency, and motion accuracy.",cs.CV,cs.CV,8,"experimental, we introduce, accuracy, outperforms, baselines, training, inference, our approach",2026-03-16T17:59:05Z,2603.15614v1,http://arxiv.org/abs/2603.15614v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,HSImul3R: Physics-in-the-Loop Reconstruction of Simulation-Ready Human-Scene Interactions,"We present HSImul3R, a unified framework for simulation-ready 3D reconstruction of human-scene interactions (HSI) from casual captures, including sparse-view images and monocular videos. Existing methods suffer from a perception-simulation gap: visually plausible reconstructions often violate physical constraints, leading to instability in physics engines and failure in embodied AI applications. To bridge this gap, we introduce a physically-grounded bi-directional optimization pipeline that treats the physics simulator as an active supervisor to jointly refine human dynamics and scene geometry. In the forward direction, we employ Scene-targeted Reinforcement Learning to optimize human motion under dual supervision of motion fidelity and contact stability. In the reverse direction, we propose Direct Simulation Reward Optimization, which leverages simulation feedback on gravitational stability and interaction success to refine scene geometry. We further present HSIBench, a new benchmark with diverse objects and interaction scenarios. Extensive experiments demonstrate that HSImul3R produces the first stable, simulation-ready HSI reconstructions and can be directly deployed to real-world humanoid robots.",cs.CV,cs.CV cs.RO,6,"experiments, benchmark, we propose, we introduce, we present, real-world",2026-03-16T17:58:33Z,2603.15612v1,http://arxiv.org/abs/2603.15612v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,Code-A1: Adversarial Evolving of Code LLM and Test LLM via Reinforcement Learning,"Reinforcement learning for code generation relies on verifiable rewards from unit test pass rates. Yet high-quality test suites are scarce, existing datasets offer limited coverage, and static rewards fail to adapt as models improve. Recent self-play methods unify code and test generation in a single model, but face a inherent dilemma: white-box access leads to self-collusion where the model produces trivial tests for easy rewards, yet black-box restriction yields generic tests that miss implementation-specific bugs. We introduce Code-A1, an adversarial co-evolution framework that jointly optimizes a Code LLM and a Test LLM with opposing objectives. The Code LLM is rewarded for passing more tests, while the Test LLM is rewarded for exposing more defects. This architectural separation eliminates self-collusion risks and safely enables white-box test generation, where the Test LLM can inspect candidate code to craft targeted adversarial tests. We further introduce a Mistake Book mechanism for experience replay and a composite reward balancing test validity with adversarial difficulty. Experiments on Qwen2.5-Coder models demonstrate that Code-A1 achieves code generation performance matching or exceeding models trained on human-annotated tests, while significantly improving test generation capability.",cs.CL,cs.CL,5,"experiments, datasets, implementation, we introduce, performance",2026-03-16T17:58:13Z,2603.15611v1,http://arxiv.org/abs/2603.15611v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
APPLIED,Do Metrics for Counterfactual Explanations Align with User Perception?,"Explainability is widely regarded as essential for trustworthy artificial intelligence systems. However, the metrics commonly used to evaluate counterfactual explanations are algorithmic evaluation metrics that are rarely validated against human judgments of explanation quality. This raises the question of whether such metrics meaningfully reflect user perceptions. We address this question through an empirical study that directly compares algorithmic evaluation metrics with human judgments across three datasets. Participants rated counterfactual explanations along multiple dimensions of perceived quality, which we relate to a comprehensive set of standard counterfactual metrics. We analyze both individual relationships and the extent to which combinations of metrics can predict human assessments. Our results show that correlations between algorithmic metrics and human ratings are generally weak and strongly dataset-dependent. Moreover, increasing the number of metrics used in predictive models does not lead to reliable improvements, indicating structural limitations in how current metrics capture criteria relevant for humans. Overall, our findings suggest that widely used counterfactual evaluation metrics fail to reflect key aspects of explanation quality as perceived by users, underscoring the need for more human-centered approaches to evaluating explainable artificial intelligence.",cs.AI,cs.AI cs.HC,7,"dataset, datasets, evaluation, evaluate, evaluating, empirical, results show",2026-03-16T17:56:54Z,2603.15607v1,http://arxiv.org/abs/2603.15607v1,cat:cs.LG OR cat:cs.CV OR cat:cs.CL OR cat:cs.RO OR cat:cs.SE OR cat:cs.DB OR cat:cs.AR OR cat:cs.NI OR cat:cs.HC OR cat:cs.IR OR cat:cs.AI
